"model","year","price","transmission","mileage","fuelType","tax","mpg","engineSize"
" 3 Series",2020,41555,"Semi-Auto",9,"Petrol",145,33.6,3
" 3 Series",2016,17500,"Automatic",48000,"Other",0,134.5,2
" 3 Series",2020,23850,"Semi-Auto",15,"Petrol",145,42.2,2
" 7 Series",2019,52990,"Semi-Auto",4884,"Diesel",145,41.5,3
" 3 Series",2017,20990,"Semi-Auto",18309,"Diesel",145,56.5,3
" X1",2017,20980,"Semi-Auto",21330,"Petrol",160,44.8,2
" 1 Series",2019,16500,"Semi-Auto",5000,"Diesel",145,72.4,1.5
" 1 Series",2013,8000,"Manual",50000,"Petrol",145,49.6,1.6
" M4",2020,47488,"Automatic",10,"Petrol",150,34,3
" X1",2018,25457,"Semi-Auto",9421,"Diesel",145,60.1,2
" 1 Series",2019,21995,"Manual",4869,"Petrol",150,44.8,1.5
" 2 Series",2019,24012,"Semi-Auto",5000,"Diesel",145,49.6,2
" 3 Series",2019,27999,"Semi-Auto",7035,"Diesel",145,48.7,2
" 3 Series",2017,22798,"Semi-Auto",16996,NA,145,56.5,3
" 4 Series",2018,19370,"Automatic",26739,"Diesel",145,65.7,2
" 4 Series",2017,20892,"Semi-Auto",18278,"Diesel",150,60.1,2
" X6",2018,39994,"Semi-Auto",15119,"Diesel",145,40.9,3
" 1 Series",2015,12298,"Semi-Auto",37634,"Diesel",30,64.2,2
" M4",2019,41980,"Semi-Auto",101,"Petrol",145,34,3
" 1 Series",2016,12800,"Manual",18343,"Diesel",20,70.6,1.5
" 5 Series",2017,16000,"Automatic",38538,"Diesel",125,60.1,2
" 1 Series",2017,15381,"Semi-Auto",74652,"Diesel",125,60.1,2
" X3",2019,38990,"Semi-Auto",1858,"Diesel",145,54.3,2
" 5 Series",2019,33890,"Semi-Auto",2096,"Diesel",145,53.3,3
" 2 Series",2019,21945,"Semi-Auto",11687,"Petrol",145,47.9,2
" 1 Series",2013,10372,"Manual",33940,"Diesel",30,64.2,2
" X5",2019,45840,"Automatic",10923,"Diesel",145,37.7,3
" 4 Series",2014,14950,"Automatic",27000,"Petrol",160,46.3,2
" 4 Series",2016,17870,"Semi-Auto",13298,"Petrol",200,42.8,2
" 1 Series",2015,9490,"Manual",43000,"Diesel",30,65.7,2
" X2",2018,22111,"Semi-Auto",16708,"Petrol",150,38.7,2
" 2 Series",2019,21875,"Semi-Auto",3995,"Petrol",145,50.4,1.5
" X1",2019,26995,"Semi-Auto",11,"Diesel",145,60.1,2
" 1 Series",2014,13298,"Manual",55834,"Petrol",300,35.3,3
" 5 Series",2020,29950,"Semi-Auto",6,"Hybrid",145,49.6,2
" X3",2019,43863,"Semi-Auto",4824,"Petrol",145,34.5,3
" 5 Series",2017,22490,"Semi-Auto",36549,"Diesel",30,65.7,2
" X1",2016,14991,"Manual",21242,"Diesel",20,68.9,2
" 1 Series",2019,15199,"Manual",10844,"Petrol",145,53.3,1.5
" 2 Series",2018,19000,"Semi-Auto",9641,"Petrol",145,38.2,2
" 2 Series",2019,25466,"Automatic",6179,"Diesel",145,46.3,2
" X2",2018,23450,"Semi-Auto",11594,"Diesel",145,58.9,2
" 3 Series",2014,12998,"Manual",31826,"Diesel",125,57.6,2
" M5",2016,25999,"Semi-Auto",49689,"Petrol",565,28.5,4.4
" 1 Series",2019,21990,"Semi-Auto",1540,"Diesel",145,78.5,1.5
" 2 Series",2018,19800,"Automatic",10764,"Petrol",145,47.9,2
" 3 Series",2016,12200,"Automatic",37170,"Diesel",30,65.7,2
" 5 Series",2016,13465,"Semi-Auto",71203,"Diesel",125,60.1,2
" 3 Series",2017,21995,"Semi-Auto",25542,"Diesel",160,51.4,3
" X1",2018,21991,"Semi-Auto",27713,"Diesel",150,60.1,2
" 3 Series",2012,8990,"Manual",64000,"Diesel",145,55.4,2
" 1 Series",2016,10989,"Manual",31319,"Diesel",20,72.4,1.5
" 4 Series",2016,23480,"Automatic",27214,"Petrol",200,41.5,3
" 3 Series",2016,16895,"Automatic",46003,"Diesel",160,51.4,3
" 2 Series",2017,12900,"Manual",47301,"Diesel",20,74.3,1.5
" 3 Series",2019,31490,"Manual",4503,"Diesel",150,54.3,2
" 2 Series",2015,7195,"Manual",92920,"Diesel",20,68.9,2
" 4 Series",2014,12975,"Automatic",65000,"Diesel",125,60.1,2
" 2 Series",2019,21980,"Semi-Auto",1000,"Petrol",145,50.4,1.5
